test_suite,TC#,name,summary,preconditions,ad_types,steps,expected_results,test type,importance,status,execution_type
Version Upgrade,UPGR-1,the upgrade after fresh installation,"to verify the upgrade after fresh installation
 
 Fresh installation -> Upgrade",Prepare the lastest public released version,any,"1. install the latest public released version
 2. upgrade to the new version
 3. initialize the app
 4. load and play the ad 
 5. close the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-2,the upgrade after initialization,"to verify the upgrade after initialization
 
 Installation -> initialization -> upgrade",Prepare the lastest public released version,any,"1. install the latest public released version
 2. initialize the app
 3. upgrade to the new version
 4. initialize the app
 5. load and play the ad 
 6. close the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-3,the upgrade after initialization and kill the app,"to verify the upgrade after initialization
 
 Installation -> initialization -> kill the app -> upgrade",Prepare the lastest public released version,any,"1. install the latest public released version
 2. initialize the app
 3. kill the app
 4. upgrade to the new version
 5. initialize the app
 6. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-4,the upgrade after multiple ad plays,"to verify the upgrade after multiple ad plays
 
 Installation -> initialization -> play ads -> upgrade",Prepare the lastest public released version,any,"1. install the latest public released version
 2. initialize the app
 3. load, play and close the ad multiple times
 4. upgrade to the new version
 5. initialize the app
 6. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Basic,2,1,1
Version Upgrade,UPGR-5,the upgrade during ad play in background,"to verify the upgrade during ad play
 
 Play ad (video) -> background -> upgrade",Prepare the lastest public released version,all ad types,"1. install the latest public released version
 2. initialize the app
 3. load ad and play the ad
 4. put the ad in background during the video is playing
 5. upgrade to the new version
 6. initialize the app
 7. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-6,the upgrade after ad play interuption by closing the ad during the video is playing,"to verify the upgrade after ad play interuption by closing the ad during the video is playing
 
 Play ad (video) -> kill the ad -> upgrade",Prepare the lastest public released version,all ad types,"1. install the latest public released version
 2. initialize the app
 3. load and play the ad
 4. kill the app during the video is playing
 5. upgrade the app
 6. initialize the app
 7. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-7,the upgrade when StoreKit is displayed by CTA or CTA Overlay on video,"to verify the upgrade when StoreKit is displayed by CTA or CTA Overlay on video
 
 Play ad (video) -> CTA or CTA overlay click -> storekit -> background -> upgrade",Prepare the lastest public released version,Legacy,"1. install the latest public released version
 2. initialize the app
 3. load ad and play the ad
 4. click Video to open StoreKit
 4. put the ad with StoreKit in background
 5. upgrade to the new version
 6. initialize the app
 7. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-8,"the upgrade after ad play interuption by closing the ad on StoreKit
 
 Play ad (video) -> CTA or CTA Overlay click -> Storekit -> kill the ad -> upgrade","to verify the upgrade after ad play interuption by closing the ad on StoreKit
 
 Play ad (video) -> CTA or CTA Overlay click -> Storekit -> kill the ad -> upgrade",Prepare the lastest public released version,Legacy,"1. install the latest public released version
 2. initialize the app
 3. load and play the ad
 4. click CTA overlay to open StoreKit
 5. kill the app during StoreKit is shown
 6. upgrade the app
 7. initialize the app
 8. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-9,the upgrade after ad play interuption by putting the ad in background during EndCard is shown,"to verify the upgrade after ad play interuption by putting the ad in background during EndCard is shown
 
 Endcard -> background -> upgrade",Prepare the lastest public released version,all ad types,"1. install the latest public released version
 2. initialize the app
 3. load ad and play the ad
 4. move to Endcard
 4. put the ad in background
 5. upgrade to the new version
 6. initialize the app
 7. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-10,the upgrade after ad play interuption by closing the ad during EndCard is shown,"to verify the upgrade after ad play interuption by closing the ad during EndCard is shown
 
 Endcard -> kill the ad -> upgrade",Prepare the lastest public released version,all ad types,"1. install the latest public released version
 2. initialize the app
 3. load and play the ad
 4. move to Endcard
 5. kill the app during Endcard is shown
 6. upgrade the app
 7. initialize the app
 8. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-11,the upgrade when StoreKit is displayed by CTA on EndCard,"to verify the upgrade when StoreKit is displayed by CTA on Endcard
 
 EndCard -> CTA click -> storekit/appstore -> background -> upgrade",Prepare the lastest public released version,all ad types,"1. install the latest public released version
 2. initialize the app
 3. load ad and play the ad
 4. move to Endcard
 4. click CTA to open StoreKit/Appstore
 4. put the ad with StoreKit/Appstore in background
 5. upgrade to the new version
 6. initialize the app
 7. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-12,the upgrade when StoreKit is displayed by CTA on Endcard and kill the ad,"to verify the upgrade when StoreKit is displayed by CTA on Endcard
 
 EndCard -> CTA click -> storekit/appstore -> kill the ad -> upgrade",Prepare the lastest public released version,all ad types,"1. install the latest public released version
 2. initialize the app
 3. load ad and play the ad
 4. move to Endcard
 4. click CTA to open StoreKit/Appstore
 4. kill the app
 5. upgrade to the new version
 6. initialize the app
 7. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-13,the upgrade during assets are downloading,"to verify the upgrade during assets are downloading
 
 Load Ad -> assets are downloading -> background -> upgrade",Prepare the lastest public released version,any,"1. install the latest public released version
 2. initialize the app
 3. load ad
 4. put the ad in background during the asset is downloading
 5. upgrade the app
 6. initialize the app
 7. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
Version Upgrade,UPGR-14,the upgrade during assets are downloading and kill the app,"to verify the upgrade during assets are downloading
 
 Load Ad -> assets are downloading -> kill the app -> upgrade",Prepare the lastest public released version,any,"1. install the latest public released version
 2. initialize the app
 3. load ad
 4. kill the app during the asset is downloading
 5. upgrade the app
 6. initialize the app
 7. load and play the ad","initialization, load ad, play ad must work successfully after upgrade",Functional,2,1,1
API Payload,API-1,"Request API Payloa - ""app""","Request API Payload to verify the information of ""app""",,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""id"" matches to App ID
 ""bundle"" matches to test app bundle name
 ""ver"" matches to test app version",Functional,2,1,1
API Payload,API-2,"Request API Payload - ""device""","Request API Payload to verify the information of ""device""",,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""make""
 ""os""
 ""model""
 ""osv""",Functional,2,1,1
API Payload,API-3,Request API Payload - moat viewability ON,Request API Payload to verify moat viewability,set moat ON in campaign,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""viewability"": true",Functional,2,1,1
API Payload,API-4,Request API Payload - moat viewability OFF,Request API Payload to verify moat viewability,set moat OFF in campaign,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""viewability"": false",Functional,2,1,1
API Payload,API-5,"Request API Payload - ""vungle""->""is_google_play_services_available""","Request API Payload to verify the information of ""vungle""->""is_google_play_services_available""",google service available device,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""is_google_play_services_available"": true",Functional,2,1,1
API Payload,API-6,"Request API Payload - ""vungle""->""is_google_play_services_available"" on Amazon, Chinese model","Request API Payload to verify the information of ""vungle""->""is_google_play_services_available"" on Amazon, Chinese model","google service disabled device - Amazon, Chinese",any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""is_google_play_services_available"": false",Functional,2,1,1
API Payload,API-7,"Request API Payload - ""vungle""->""battery_level""","Request API Payload to verify the information of ""vungle""->""battery_level""",read the current battery level from device,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","the value of ""battery_level"" matches to the one of the device",Functional,2,1,1
API Payload,API-8,"Request API Payload - ""vungle""->""battery_state"" when charger cable is plugged","Request API Payload to verify the information of ""vungle""->""battery_state"" when charger cable is plugged",charger cable is plugged,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""battery_state"" reflects to the state of charger cable plug",Functional,2,1,1
API Payload,API-9,"Request API Payload - ""vungle""->""battery_state"" when charger cable is unplugged","Request API Payload to verify the information of ""vungle""->""battery_state"" when charger cable is unplugged",charger cable is unplugged,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""battery_state"" reflects to the state of charger cable unplug",Functional,2,1,1
API Payload,API-10,"Request API Payload - ""vungle""->""connection_type"", ""connection_type_detail""","Request API Payload to verify the information of ""vungle""->""connection_type"", ""connection_type_detail""",connect to WiFi,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""connection_type"": ""WiFi""
 ""connection_type_detail"": ""WiFi""",Functional,2,1,1
API Payload,API-11,"Request API Payload - ""vungle""->""locale""","Request API Payload to verify the information of ""vungle""->""locale""","Set locale as English
 Set locale as Spanish",any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""locale"" matches to the selection",Functional,2,1,1
API Payload,API-12,"Request API Payload - ""vungle""->""time_zone""","Request API Payload to verify the information of ""vungle""->""time_zone""","set Pacific Time Zone
 set Central Time Zone",any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""time_zone"": America\/Los_Angeles
 ""time_zone"":",Functional,2,1,1
API Payload,API-13,"Request API Payload - ""vungle""->""volume_level""","Request API Payload to verify the information of ""vungle""->""volume_level""","set volume to 0
 set volume to max",any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""volume_level"": 0, 
 ""volume_level"": max",Functional,2,1,1
API Payload,API-14,"Request API Payload - ""vungle""->""storage_bytes_available""","Request API Payload to verify the information of ""vungle""->""storage_bytes_available""",read the current available memory,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""storage_bytes_available"": matches to the one from the device",Functional,2,1,1
API Payload,API-15,Request API Payload - the default value of GDPR after refresh initialization - US geo location,Request API Payload to verify the default value of GDPR after refresh initialization - US geo location,set Geo-level in header to US,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""status"": ""unknown""",Functional,2,1,1
API Payload,API-16,Request API Payload - the default value of GDPR after refresh initialization - UK geo location,Request API Payload to verify the default value of GDPR after refresh initialization - UK geo location,set Geo-level in header to UK,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","""status"": ""unknown""",Functional,2,1,1
API Payload,API-17,API Header - the user agent info in header of all API calls,API Header: to verify the user agent info in header of all API calls,,any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","User-Agent : ""VungleDroid/<sdk_version>""
 Eg. User-Agent: VungleDroid/6.3.17",Functional,2,1,1
API Payload,API-18,Request API Payload - request /config API Response Payload incentivized,Request API Payload - request /config API Response Payload to verify incentivized,"inventivized ad
 non incentiviazed",any,"1. initialize the app to call /config API 
 2. load an ad to call /ads API
 3. play an ad to call /will_play_ad
 4. close the ad to call /report_ad","1: for incentivized ad
 0: for non incentivized ad",Functional,2,1,1
API Payload,API-19,"/config API Response Payload - ""endpoints"" -> ""new""","/config API Response Payload to verify ""endpoints"" -> ""new""",fresh installation,any,"1. install the test app
 2. type in the vaild App ID and HostAPI
 3. initialize the app","""endpoints""->""new"" API URL is called",Functional,2,1,1
API Payload,API-20,"/config API Response Payload - ""endpoints"" -> ""ads""","/config API Response Payload to verify ""endpoints"" -> ""ads""","auto-cacheable ads
 non auto-cacheable ads",any,"1. initialize the app
 2. load ad or auto-cache","auto-cacheable ads call ""endpoints""->""ads"" API URL automatically to auto-cache the ad
 non auto-cacheable ads call ""endpoints""->""ads"" API URL when ""load ad"" is selected",Functional,2,1,1
API Payload,API-21,"/config API Response Payload - ""endpoints"" -> ""will_play_ad""","/config API Response Payload to verify ""endpoints"" -> ""will_play_ad""",,any,"1. initialize the app
 2. load ad or auto-cache
 3. play the ad","""endpoints""->""will_play_ad"" API URL",Functional,2,1,1
API Payload,API-22,"/config API Response Payload - ""endpoints"" -> ""report_ad""","/config API Response Payload to verify ""endpoints"" -> ""report_ad""",,any,"1. initialize the app
 2. load ad or auto-cache
 3. play the ad
 4. close the ad","""endpoints""->""report_ad"" API URL",Functional,2,1,1
API Payload,API-23,"/config API Response Payload - ""endpoints"" -> ""log""","/config API Response Payload to verify ""endpoints"" -> ""log""","""log"" is enabled",any,"1. initialize the app
 2. load ad or auto-cache
 3. play the ad
 4. observe /log API call","""endpoints""->""log"" API URL",Functional,2,1,1
API Payload,API-24,"/config API Response Payload - ""endpoints"" -> ""ri""","/config API Response Payload to verify ""endpoints"" -> ""ri""","""ri"" is enabled",any,"1. initialize the app
 2. load ad or auto-cache
 3. play the ad
 4. Observe /ri API call","""endpoints""->""ri"" API URL",Functional,2,1,1
API Payload,API-25,"""playback"" -> ""buffer_timeout""","to verify ""playback"" -> ""buffer_timeout""",,any,,timeout ad playback,Functional,2,1,1
API Payload,API-26,"""will_play_ad"" -> ""enabled""","to verify ""will_play_ad"" -> ""enabled""",,any,,"true: ad streaming works
 false: ad play doesn't work",Functional,2,1,1
API Payload,API-27,"""will_play_ad"" -> ""request_timeout""","to verify ""will_play_ad"" -> ""request_timeout""",,any,,??,Functional,2,1,1
API Payload,API-28,/config API Null Callback,/config API Null Callback,prepare /config response with Null,any,1.initialize with /config response with Null JSON through Charles,"iOS:
 - initialization successful with displaying the cached ads. 
 - the cached ads fails playing with ""SDK is already playing an ad""
 
 Android: failed initialization with VungleException: Configuration Error occurred.",Negative,2,1,1
API Payload,API-29,/ads API Null Callback,/ads API Null Callback,prepare /ads response with Null,any,"1. load ad with /ads response with Null JSON through Charles
 2. Play the ad","iOS: 
 - auto-cacheable ad: retry /ads API call
 - Non auto-cacheable ad: ad loading is dismissed without retry
 Android: 
 - Auto-cacheable Ad: retry /ads API call for with VungleError: No Advertisement is currently available
 - Non Auto-cacheable Ad: dismiss ad loading with with VungleError: No Advertisement is currently available. No retry",Negative,2,1,1
API Payload,API-30,/will_play_ad API Null Callback,/will_play_ad API Null Callback,prepare /will_play_ad response with Null,any,"1. load ad
 2. Play the ad with /will_play_ad response with Null JSON","/will_play_ad API is called with {} response
 it doesn't affect on ad play
 No retry",Negative,2,1,1
API Payload,API-31,/report API Null Callback,/report API Null Callback,prepare /report response with Null,any,"1. load ad
 2. Play the ad 
 3. close the ad with /report response with Null JSON","/report_ad API is called with {} response
 it doesn't affect on the next ad play
 No retry",Negative,2,1,1
API Payload,API-32,/new API Null Callback,/new API Null Callback,prepare /new response with Null,any,"1. fresh install
 2. initialize with /new response with Null JSON through Charles","/new API is called with {} response
 it doesn't affect on ad play
 No retry",Negative,2,1,1
Device Storage Limit,DSLM-1,No space to start SDK initialization,No space to start SDK initialization,<50M memory available,all ad types,"1. Set device storage to lower than 50MB
 2. initialize the app",initialization must be failed with error message,Functional,2,1,1
Device Storage Limit,DSLM-2,No space to load the auto-cacheable ad,No space to load the auto-cacheable ad,,all ad types,"1. Set device storage to slightly higher than 50MB (51MB)
 2. initialize the app
 3. wait for multiple auto-cacheable ads are loading",Initialize but it shows error message when the app tries to auto-cache,Functional,2,1,1
Device Storage Limit,DSLM-3,the dismissed auto-cacheable placement by low memory restarts to auto-cache after the enough memory is available,the dismissed auto-cacheable placement by low memory restarts to auto-cache after the enough memory is available,,all ad types,"1. Set device storage to slightly higher than 50MB (51MB)
 2. initialize the app
 3. wait for multiple auto-cacheable ads are loading
 4. observe the auto-caching is paused or cancelled
 5. set device storage higher enough to compete in auto-caching",Need to find out the expected behavior... retry auto-cache automatically??,Functional,2,1,1
Device Storage Limit,DSLM-4,No space to load the non auto-cacheable ad,No space to load the non auto-cacheable ad,,all ad types,"1. Set device storage to slightly higher than 50MB (51MB)
 2. initialize the app
 3. Set device storage to lower than 50MB before the ad is loaded",Initialize but it shows error message when the app tries to load,Functional,2,1,1
Device Storage Limit,DSLM-5,Load the dismissed non auto-cacheable ad after the enough memory is available,Load the dismissed non auto-cacheable ad after the enough memory is available,,all ad types,"1. Set device storage to slightly higher than 50MB (51MB)
 2. initialize the app
 3. Set device storage to lower than 50MB before the ad is loaded
 4. after the ad load is dismissed, increase the available device storage enough to load the ads
 5. load the ad again",ad is loaded successully and all assets are stored,Functional,2,1,1
Asset Download,ASDW-1,Assets download with the different network setting,"Assets download at the different network
 - 4G / LTE
 - 3G
 - 1x
 - WiFi speed","The device is connected to Charles
 Set Throttle On to change the network bandwidth",Any,"1. set the data network to each low bandwidth
 2. download assets","Ad loading should be successful
 All assets should be loaded with Status 200",Functional,2,1,1
Asset Download,ASDW-2,Initialize on WiFi and Load Ads on Data Network,Initialize on WiFi and Load Ads on Data Network,"ADB tool is ready
 adb commands:
 - WiFi: adb shell svc wifi enable/disable
 - Data Network: adb shell svc data enable/disable",Any,"1. Enable WiFi
 2. Initialize the app
 3. Switch to Data Network
 4. Load Ad","Ad loading should be successful
 All assets should be loaded with Status 200",Functional,2,1,1
Asset Download,ASDW-3,Initialize on Data Network and Load Ads on WiFi,Initialize on Data Network and Load Ads on WiFi,"ADB tool is ready
 adb commands:
 - WiFi: adb shell svc wifi enable/disable
 - Data Network: adb shell svc data enable/disable",Any,"1. Enable Data Network
 2. Initialize the app
 3. Switch to WiFi
 4. Load Ad","Ad loading should be successful
 All assets should be loaded with Status 200",Functional,2,1,1
Asset Download,ASDW-4,Load/play Ad on WiFi and load next ad on Data Network,Load/play Ad on WiFi and load next ad on Data Network,"ADB tool is ready
 adb commands:
 - WiFi: adb shell svc wifi enable/disable
 - Data Network: adb shell svc data enable/disable",Any,"1. Enable WiFi
 2. Initialize the app
 3. Load one ad and play
 4. Switch to Data Network
 5. Load the same Ad","Ad loading should be successful
 All assets should be loaded with Status 200",Functional,2,1,1
Asset Download,ASDW-5,Load/play Ad on Data Network and load next ad on WiFi,Load/play Ad on Data Network and load next ad on WiFi,"ADB tool is ready
 adb commands:
 - WiFi: adb shell svc wifi enable/disable
 - Data Network: adb shell svc data enable/disable",Any,"1. Enable Data Network
 2. Initialize the app
 3. Load one ad and play
 4. Switch to WiFi
 4. Load the same ad","Ad loading should be successful
 All assets should be loaded with Status 200",Functional,2,1,1
Asset Download,ASDW-6,Kill the app while assets are downloading,Kill the app while assets are downloading,"The device is connected to Charles
 Set Throttle with low bandwidth of network to download asset slowly",Any,"1. download assets
 2. kill the test app while an asset is downloading
 3. launch and re-initialize the test app
 4. Turn off Throttle on Charles to speed up the asset download","Ad loading should be successful
 All assets should start to load with Status 200
 When the app is relaunched, the interrupted assets should be loaded partially with Status 206
 The ad must be playable after the re-load is completed
 
 Auto-Cacheable AD: SDK triggers re-downloading automatically
 Non Auto-Cacheable AD: SDK doesn't trigger re-downloading. when the load ad is triggered manually, it starts re-downloading",Interruption,2,1,1
Asset Download,ASDW-7,put the app in background while assets are downloading,put the app in background while assets are downloading,"The device is connected to Charles
 Set Throttle with low bandwidth of network to download asset slowly",Any,"1. initialize the app
 2. download the ads
 3. put the app in background","Ad loading continues on while the app stays in background
 When the app is in foreground, the ad should be playable",Interruption,2,1,1
Asset Download,ASDW-8,Network switch from WiFi to Data Network during asset downloading,WiFi to Data Network,"The device has both WiFi and Data Network enabled
 The device is connected to Charles
 Set Throttle with low bandwidth of network to download asset slowly
 
 adb commands:
 - WiFi: adb shell svc wifi enable/disable
 - Data Network: adb shell svc data enable/disable",Any,"1. download assets on WiFi Network
 2. disable WiFi network while assets are downloading
 3. Observe the data network is enabled","Ad loading should be successful
 Ad should be playable",Interruption,2,1,1
Asset Download,ASDW-9,Network switch from Data network to WiFi during asset downloading,Data network to WiFi,"The device has both WiFi and Data Network enabled
 The device is connected to Charles
 Set Throttle with low bandwidth of network to download asset slowly
 
 adb commands:
 - WiFi: adb shell svc wifi enable/disable
 - Data Network: adb shell svc data enable/disable",Any,"1. download assets on Data Network
 2. disable Data network by adb command while assets are downloading
 3. Observe WiFi network is enabled","Ad loading should be successful
 Ad should be playable",Interruption,2,1,1
Asset Download,ASDW-10,Network bandwidth transition Low to High Bandwidth,"Low to High Bandwidth Transition
 low bandwidth (3G, 1x) -> back to high bandwidth",,Any,"1. Set Throttle preset to low bandwidth
 2. download assets
 3. set Throttle preset to high bandwidth (4G) while the assets are downloading","Ad loading should be successful
 the ad should be playable",Interruption,2,1,1
Asset Download,ASDW-11,Invalid MP4 video,Invalid MP4 video,multiple invalid videos,any,"1. load ad with the invalid mp4 file through Charles
 2. Play the ad","- no crash
 - video play is skipped
 - display EndCards only",Negative,2,1,1
Asset Download,ASDW-12,Broken MP4,Broken MP4,prepare txt file as mp4 file,any,"1. load ad with the broken mp4 file through Charles
 2. Play the ad","iOS: fails downloading the invalid asset and fails the ad loading
 Android: skip playing video and displays EndCard only",Negative,2,1,1
Asset Download,ASDW-13,Broken Bundle Zip package,Broken Bundle Zip package,prepare txt file as zip file,any,"1. load ad with the broken bundle package zip file through Charles
 2. Play the ad","iOS: fails downloading the invalid asset and fails the ad loading
 Android: skip displaying EndCard. Ad closes after video playback is done",Negative,2,1,1
Malformed URL,MFAU-1,malformed URL - /config endpoints,malformed URL - /config endpoints,"enable rewrite tool in Charles
 prepare /config response payload with the malformed URL at ""ads"", ""will_play_ad"", and ""report_ad""",any,"1. rewrite /config response with the malformed URL in ""endpoints""
 2. initialize the app",No crash happens,Negative,2,1,1
Malformed URL,MFAU-2,"malformed URL - /ads ""tpat"" -> ""play_percentage""","malformed URL - /ads ""tpat"" -> ""play_percentage""","enable rewrite tool in Charles
 prepare /ads response payload with the malformed URL in ""tpat""",any,"1. initialize the app
 2. rewrite /ads response with the malformed URL in one or more of ""tpat"" -> ""play_percentage""
 3. enable rewrite in Charles
 4. load the ad
 5. observe SDK retries /ads API call
 6. disable rewrite in Charles
 7. Observe the following /ads API call","No crash happen
 /ads API call is retried
 The retried /ads API call loads new ad when the rewrite is disabled in Charles",Negative,2,1,1
Malformed URL,MFAU-3,"malformed URL - /ads ""tpat"" -> ""postroll_click"", ""postroll_view""","malformed URL - /ads ""tpat"" -> ""postroll_click"", ""postroll_view""","enable rewrite tool in Charles
 prepare /ads response payload with the malformed URL in ""tpat""",any,"1. initialize the app
 2. rewrite /ads response with the malformed URL in one or more of ""tpat"" -> ""play_percentage""
 3. enable rewrite in Charles
 4. load the ad
 5. observe SDK retries /ads API call
 6. disable rewrite in Charles
 7. Observe the following /ads API call","No crash happens
 /ads API call is retried
 The retried /ads API call loads new ad when the rewrite is disabled in Charles",Negative,2,1,1
Malformed URL,MFAU-4,"malformed URL - /ads “callToActionDest”, “callToActionUrl”","malformed URL - /ads “callToActionDest”, “callToActionUrl”","enable rewrite tool in Charles
 prepare /ads response payload with the malformed URL in “callToActionDest”, “callToActionUrl”",any,"1. initialize the app
 2. rewrite /ads response with the malformed URL in one or more of “callToActionDest”, “callToActionUrl”
 3. load the ad",No crash happens,Negative,2,1,1
Malformed URL,MFAU-5,"malformed URL - /ads “templateURL”, ""postBundle""","malformed URL - /ads “templateURL”, ""postBundle""","enable rewrite tool in Charles
 prepare /ads response payload with the malformed URL in “templateURL”, ""postBundle""",any,"1. initialize the app
 2. rewrite /ads response with the malformed URL in “templateURL”, ""postBundle""
 3. load the ad
 
 if /ads API call retries, disable rewrite in Charles
 and Observe the following /ads API call",No crash happens,Negative,2,1,1
Malformed URL,MFAU-6,malformed URL - /ads “templateSettings”,malformed URL - /ads “templateSettings”,"enable rewrite tool in Charles
 prepare /ads response payload with the malformed URL in “templateSettings” -> ""CTA_BUTTON_URL""",DT only,"1. initialize the app
 2. rewrite /ads response with the malformed URL in “templateSettings” -> ""CTA_BUTTON_URL""
 3. load the ad",No crash happens,Negative,2,1,1
Malformed URL,MFAU-7,malformed URL - /ads “cacheable_replacements”,malformed URL - /ads “cacheable_replacements”,enable rewrite tool in Charles,DT only,"1. initialize the app
 2. rewrite /ads response with the malformed URL in one or more of “cacheable_replacements”
 3. load the ad
 4. play the ad",No crash happens,Negative,2,1,1
Malformed URL,MFAU-8,POSTROLL_CLICK URL with /new API endpoint,POSTROLL_CLICK URL with /new API endpoint,"enable rewrite tool in Charles
 create tpat url with """"https://apiqa.vungle.com/api/v5/new?app_id=5c003b9a3933314cf38ff7f3\u0026ifa=00000000-0000-0000-0000-000000000000\u0026conversion=1\u0026event_id=5c38e2ce631bc200015fb5ec""",any,"1. initialize the app
 2. add one malformed URL with ""/new"" API endpoint in POSTROLL_CLICK TPAT under ""tpat"" of /ads response
 2. rewrite to the /ads
 3. load the ad
 4. play the ad
 5. Click CTA to fire POSTROLL_CLICK TPAT","No Crash happens
 The TPATs are fired successfully",Negative,2,1,1
Malformed URL,MFAU-9,URL returns with 302 status,URL returns with 302 status,"enable rewrite tool in Charles
 ""callToActionUrl"": ""https://app.appsflyer.com/com.vungle.games.tossacoin?pid=vungle_int\u0026af_click_lookback=7d\u0026vungleappid=7748832\u0026af_cost_model=CPI\u0026af_cost_value=9999""",any,"1. initialize the app
 2. add the url that returns 302 status response
 2. rewrite to the /ads
 3. load the ad
 4. play the ad
 5. Click CTA","No Crash happens
 The API returns with 302 status successfully",Negative,2,1,1
Malformed URL,MFAU-10,CTA Url with valid protocols - https,CTA Url with valid protocols - https,"CTA URL with valid protocol
 IOS:
 https://itunes.apple.com/us/app/apple-tv-remote/id1096834193?mt=8
 
 Android:
 https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo",any,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url through Storekit/App Store during video is playing
 4. return to the ad","IOS: 
 storekit: it opens on native UI page
 AppStore: it opens on AppStore
 
 Android: 
 it opens on Play Store",Negative,2,1,1
Malformed URL,MFAU-11,"CTA Url with valid protocols - itms, market","CTA Url with valid protocols - itms, market","CTA URL with valid protocol
 IOS:
 itms://itune.apple.com/us/app/apple-tv-remote/id1096834193?mt=8x
 
 Android:
 market://details?id=com.nianticlabs.pokemongo",any,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url through Storekit/App Store during video is playing
 4. return to the ad","IOS:
 storekit: it opens on native UI page
 AppStore: it opens on iTune Store
 
 Android:
 it opens on Play Store",Negative,2,1,1
Malformed URL,MFAU-12,CTA Url with invalid protocol,CTA Url with invalid protocol,"CTA URL with invalid protocol
 IOS:
 itm://itune.apple.com/us/app/apple-tv-remote/id1096834193?mt=8
 htts://itune.apple.com/us/app/apple-tv-remote/id1096834193?mt=8
 
 Android:
 mark://details?id=com.nianticlabs.pokemongo
 https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo",any,"1. load ad
 2. play ad
 3. click the clickable area to launch the CTA Url through Storekit/App Store during video is playing","The click doesn't response on UI
 TPAT(POSTROLL_CLICK) is fired
 
 Android: the expected behavior is under discussion at AND-2013",Negative,2,1,1
